公司代號,公司簡稱,公司名稱
1707,葡萄王,葡萄王生技股份有限公司
1708,東鹼,東鹼股份有限公司
1709,和益,和益化學工業股份有限公司
1710,東聯,東聯化學股份有限公司
1711,永光,臺灣永光化學工業股份有限公司
1712,興農,興農股份有限公司
1713,國化,國泰化工廠股份有限公司
1714,和桐,和桐化學股份有限公司
1717,長興,長興材料工業股份有限公司
1718,中纖,中國人造纖維股份有限公司
1720,生達,生達化學製藥股份有限公司
1721,三晃,三晃股份有限公司
1722,台肥,台灣肥料股份有限公司
1723,中碳,中鋼碳素化學股份有限公司
1724,台硝,台硝股份有限公司
1725,元禎,元禎企業股份有限公司
1726,永記,永記造漆工業股份有限公司
1727,中華化,臺灣中華化學工業股份有限公司
1730,花仙子,花仙子企業股份有限公司
1731,美吾華,美吾華股份有限公司
1732,毛寶,毛寶股份有限公司
1733,五鼎,五鼎生物技術股份有限公司
1734,杏輝,杏輝藥品工業股份有限公司
1735,日勝化,日勝化工股份有限公司
1736,喬山,喬山健康科技股份有限公司
1737,臺鹽,臺鹽實業股份有限公司
1760,寶齡富錦,寶齡富錦生技股份有限公司
1762,中化生,中化合成生技股份有限公司
1773,勝一,勝一化工股份有限公司
1776,展宇,展宇科技材料股份有限公司
1783,和康生,和康生物科技股份有限公司
1786,科妍,科妍生物科技股份有限公司
1789,神隆,台灣神隆股份有限公司
1795,美時,美時化學製藥股份有限公司
1802,台玻,台灣玻璃工業股份有限公司
1805,寶徠,寶徠建設股份有限公司
1806,冠軍,冠軍建材股份有限公司
1808,潤隆,潤隆建設股份有限公司
1809,中釉,中國製釉股份有限公司
1810,和成,和成欣業股份有限公司
1817,凱撒衛,凱撒衛浴股份有限公司
1903,士紙,士林紙業股份有限公司
1904,正隆,正隆股份有限公司
1905,華紙,中華紙漿股份有限公司
1906,寶隆,寶隆國際股份有限公司
1907,永豐餘,永豐餘投資控股股份有限公司
1909,榮成,榮成紙業股份有限公司
2002,中鋼,中國鋼鐵股份有限公司
2006,東和鋼鐵,東和鋼鐵企業股份有限公司
2007,燁興,燁興企業股份有限公司
2008,高興昌,高興昌鋼鐵股份有限公司
2009,第一銅,第一伸銅科技股份有限公司
2010,春源,春源鋼鐵工業股份有限公司
2012,春雨,春雨工廠股份有限公司
2013,中鋼構,中國鋼鐵結構股份有限公司
2014,中鴻,中鴻鋼鐵股份有限公司
2015,豐興,豐興鋼鐵股份有限公司
2017,官田鋼,官田鋼鐵股份有限公司
2020,美亞,美亞鋼管廠股份有限公司
2022,聚亨,聚亨企業股份有限公司
2023,燁輝,燁輝企業股份有限公司
2024,志聯,志聯工業股份有限公司
2025,千興,千興不銹鋼(股)公司
2027,大成鋼,大成不銹鋼工業股份有限公司
2028,威致,威致鋼鐵工業股份有限公司
2029,盛餘,盛餘股份有限公司
2030,彰源,彰源企業股份有限公司
2031,新光鋼,新光鋼鐵股份有限公司
2032,新鋼,新鋼工業股份有限公司
2033,佳大,佳大世界股份有限公司
2034,允強,允強實業股份有限公司
2038,海光,海光企業股份有限公司
2049,上銀,上銀科技股份有限公司
2059,川湖,川湖科技股份有限公司
2062,橋椿,橋椿金屬股份有限公司
2069,運錩,運錩鋼鐵股份有限公司
2101,南港,南港輪胎股份有限公司
2102,泰豐,泰豐輪胎股份有限公司
2103,台橡,台橡股份有限公司
2104,國際中橡,國際中橡投資控股股份有限公司
2105,正新,正新橡膠工業股份有限公司
2106,建大,建大工業股份有限公司
2107,厚生,厚生股份有限公司
2108,南帝,南帝化學工業股份有限公司
2109,華豐,華豐橡膠工業股份有限公司
2114,鑫永銓,鑫永銓股份有限公司
2115,六暉,六暉控股股份有限公司
2201,裕隆,裕隆汽車製造股份有限公司
2204,中華,中華汽車工業股份有限公司
2206,三陽工業,三陽工業股份有限公司
2207,和泰車,和泰汽車股份有限公司
2208,台船,台灣國際造船股份有限公司
2211,長榮鋼,長榮鋼鐵股份有限公司
2227,裕日車,裕隆日產汽車股份有限公司
2228,劍麟,劍麟股份有限公司
2231,為升,為升電裝工業股份有限公司
2233,宇隆,宇隆科技股份有限公司
2236,百達,百達精密工業股份有限公司
2239,英利,開曼英利工業股份有限公司
2241,艾姆勒,艾姆勒車電股份有限公司
2243,宏旭,宏旭控股股份有限公司
2247,汎德永業,汎德永業汽車股份有限公司
2301,光寶科,光寶科技股份有限公司
2302,麗正,麗正國際科技股份有限公司
2303,聯電,聯華電子股份有限公司
2305,全友,全友電腦股份有限公司
2308,台達電,台達電子工業股份有限公司
2312,金寶,金寶電子工業股份有限公司
2313,華通,華通電腦股份有限公司
2314,台揚,台揚科技股份有限公司
2316,楠梓電,楠梓電子股份有限公司
2317,鴻海,鴻海精密工業股份有限公司
2321,東訊,東訊股份有限公司
2323,中環,中環股份有限公司
2324,仁寶,仁寶電腦工業股份有限公司
2327,國巨,國巨股份有限公司
2328,廣宇,廣宇科技股份有限公司
2329,華泰,華泰電子股份有限公司
2330,台積電,台灣積體電路製造股份有限公司
2331,精英,精英電腦股份有限公司
2332,友訊,友訊科技股份有限公司
2337,旺宏,旺宏電子股份有限公司
2338,光罩,台灣光罩股份有限公司
2340,光磊,光磊科技股份有限公司
2342,茂矽,台灣茂矽電子股份有限公司
2344,華邦電,華邦電子股份有限公司
2345,智邦,智邦科技股份有限公司
2347,聯強,聯強國際股份有限公司
2348,海悅,海悅國際開發股份有限公司
2349,錸德,錸德科技股份有限公司
2351,順德,順德工業股份有限公司
2352,佳世達,佳世達科技股份有限公司
2353,宏碁,宏碁股份有限公司
2354,鴻準,鴻準精密工業股份有限公司
2355,敬鵬,敬鵬工業股份有限公司
2356,英業達,英業達股份有限公司
2357,華碩,華碩電腦股份有限公司
2358,廷鑫,廷鑫興業股份有限公司
2359,所羅門,所羅門股份有限公司
2360,致茂,致茂電子股份有限公司
2362,藍天,藍天電腦股份有限公司
2363,矽統,矽統科技股份有限公司
2364,倫飛,倫飛電腦實業股份有限公司
2365,昆盈,昆盈企業股份有限公司
2367,燿華,燿華電子股份有限公司
2368,金像電,金像電子(股)公司
2369,菱生,菱生精密工業股份有限公司
2371,大同,大同股份有限公司
2373,震旦行,震旦行股份有限公司
2374,佳能,佳能企業股份有限公司
2375,凱美,凱美電機股份有限公司
2376,技嘉,技嘉科技股份有限公司
2377,微星,微星科技股份有限公司
2379,瑞昱,瑞昱半導體股份有限公司
2380,虹光,虹光精密工業股份有限公司
2382,廣達,廣達電腦股份有限公司
2383,台光電,台光電子材料股份有限公司
2385,群光,群光電子股份有限公司
2387,精元,精元電腦股份有限公司
2388,威盛,威盛電子股份有限公司
2390,云辰,云辰電子開發股份有限公司
2392,正崴,正崴精密工業股份有限公司
2393,億光,億光電子工業股份有限公司
2395,研華,研華股份有限公司
2397,友通,友通資訊股份有限公司
2399,映泰,映泰股份有限公司
2401,凌陽,凌陽科技股份有限公司
2402,毅嘉,毅嘉科技股份有限公司
2404,漢唐,漢唐集成股份有限公司
2405,浩鑫,浩鑫股份有限公司
2406,國碩,國碩科技工業股份有限公司
2408,南亞科,南亞科技股份有限公司
2409,友達,友達光電股份有限公司
