代號,名稱,成交,漲跌價,漲跌幅,成交張數,更新日期,5日均線,10日均線,月均線,季均線,半年均線,年均線,二年均線,三年均線,五年均線,十年均線
00700,富邦恒生國企,14.7,-0.01,-0.07,223,12月24日,14.7↘,14.9↘,15.1↘,15.7↘,16.3↘,18↘,18.5↘,19.1↘,,
00703,台新MSCI中國,19,0.13,0.69,5,12月24日,18.7↗,18.9↘,19.3↘,20.3↘,21.1↘,23.4↘,22.8↘,21.9↘,,
00706L,期元大S&P日圓正2,14.56,-0.03,-0.21,34,12月24日,14.6↘,14.7↘,14.7↗,14.8↘,15.3↘,16.1↘,16.8↘,17.2↘,,
00708L,期元大S&P黃金正2,26.08,0.02,0.08,785,12月24日,25.9↗,25.7↗,25.6↗,25.8↗,26↗,26.6↘,27.5↗,24.9↗,,
00710B,FH彭博高收益債,17.88,0.02,0.11,411,12月24日,17.9↘,18↘,18↘,18.1↘,18.2↘,18.3↘,18.6↘,19.3↘,,
00711B,FH彭博新興債,20.11,-0.09,-0.45,108,12月24日,20.3↘,20.3↘,20.2↗,20.1↘,20.3↘,20.4↘,21.2↘,21.2↗,,
00712,FH富時不動產,13.42,0.09,0.68,"3,886",12月24日,13.2↗,13.4↘,13.6↘,14.1↘,14.1↘,14↗,13.2↘,14.9↘,,
00717,富邦美國特別股,16.61,-0.02,-0.12,747,12月24日,16.6↗,16.6↗,16.5↗,16.7↘,16.9↘,16.8↘,17↘,17.9↘,,
00719B,元大美債1-3,29.67,-0.01,-0.03,101,12月24日,29.7↘,29.7↗,29.7↘,29.8↘,29.9↘,30.1↘,30.9↘,31.4↘,,
00723B,群益15年IG科技債,41.84,-0.33,-0.78,102,12月24日,42.1↘,42.3↘,42.4↗,42.2↘,42.6↘,42.4↘,44.3↘,43.5↗,,
00724B,群益10年IG金融債,41.83,-0.07,-0.17,122,12月24日,41.9↘,41.9↗,41.9↗,41.8↘,42.2↘,42↘,43.3↘,42.6↗,,
00725B,國泰投資級公司債,43.93,-0.22,-0.5,129,12月24日,44.1↘,44.2↘,44.1↗,44.1↘,44.4↘,43.9↘,44.3↘,43.9↗,,
00726B,國泰5Y+新興債,41.37,-0.26,-0.62,101,12月24日,41.5↘,41.5↗,41.3↗,41.4↘,41.9↘,42.1↘,43.1↘,43.4↗,,
00727B,國泰1-5Y高收債,37.73,-0.01,-0.03,122,12月24日,37.7↗,37.7↗,37.6↗,37.9↘,38.1↘,38.2↘,38.7↘,40.2↘,,
